survey_id,category_id,question_id,question
38766943,0,7603624,"What language is spoken in your field?"
38766943,0,8699878,"Do you represent a:"
38766943,0,8022757,"What's your division?"
38766943,0,7583131,Burundi Union
38766943,0,7584010,East Congo Union
38766943,0,7583135,East Kenya Union,
38766943,0,7583717,Eastern Ethiopia Union Mission
38766943,0,7584031,Northern Tanzania Union
38766943,0,7584034,Rwanda Union
38766943,0,7584048,Southern Tanzania Union
38766943,0,7584050,Uganda Union
38766943,0,7585419,West Congo Union Mission
38766943,0,7584132,Western Kenya Union
38766943,0,7584142,Western Ethiopia Union
38766943,0,7584144,South Sudan Union Mission
38766943,0,8025217,Eritrea Attached Territory
38766943,0,7583134,ECD
38766943,0,7584020,NECAUM
38766943,0,7576104,ESD
38766943,0,8024884,Belarus Union of Churches
38766943,0,7584155,Caucasus Union
38766943,0,7584171,East Russian Union
38766943,0,8025061,Far Eastern Russian Union
38766943,0,8025060,Moldova Union of Churches
38766943,0,7584173,Southern Union Mission
38766943,0,7584185,West Russian Union
38766943,0,8025654,Armenian Field
38766943,0,8025653,Georgian Field
38766943,0,7576106,EUD
38766943,0,7576197,Austrian Union
38766943,0,8025058,Bulgarian Union
38766943,0,8025012,Czecho-Slovakian Union
38766943,0,7576198,Franco-Belgian Union
38766943,0,7576214,North German Union
38766943,0,7576215,Romanian Union
38766943,0,7576216,South German Union
38766943,0,7576217,Swiss Union
38766943,0,7576126,IAD
38766943,0,7585212,Atlantic Caribbean Union
38766943,0,7585215,Belize Union
38766943,0,7585217,Caribbean Union
38766943,0,7585221,Central Mexican Union
38766943,0,7585310,Chiapas Mexican Union
38766943,0,7585311,Cuban Union
38766943,0,7585312,Dominican Union
38766943,0,7585340,Dutch Caribbean Union Conference
38766943,0,7585360,East Venezuela Union
38766943,0,7585362,El Salvador Union
38766943,0,7585363,French Antilles Guiana Union
38766943,0,7585364,Guatemala Union
38766943,0,7585365,Haiti Union
38766943,0,7585366,Honduras Union
38766943,0,7585367,Interoceanic Mexican Union
38766943,0,7585370,Jamaica Union
38766943,0,7585371,North Colombian Union
38766943,0,7585391,North Mexican Union
38766943,0,7585392,Panama Union
38766943,0,7585393,Puerto Rican Union
38766943,0,7585407,South Central American Union
38766943,0,7585409,South Colombian Union
38766943,0,7585411,Southeast Mexican Union
38766943,0,7585412,West Venezuela Union
38766943,0,7583750,NAD
38766943,0,7597662,Atlantic Union
38766943,0,7597686,Canadian Union
38766943,0,7597691,Columbia Union
38766943,0,7597692,Lake Union
38766943,0,7597693,Mid-America Union
38766943,0,7597700,North Pacific Union
38766943,0,7597701,Pacific Union
38766943,0,7597703,Southern Union
38766943,0,7597705,Southwestern Union
38766943,0,7583822,NSD
38766943,0,7597759,Japan Union
38766943,0,7597758,Korean Union
38766943,0,7583751,SAD
38766943,0,7597762,Argentina Union
38766943,0,7597763,Bolivia Union
38766943,0,7597766,Central Brazil Union
38766943,0,7597769,Chile Union
38766943,0,7597770,East Brazil Union
38766943,0,7597771,Ecuador Union
38766943,0,7597772,North Brazil Union
38766943,0,7597773,North Peru Union
38766943,0,7597774,Northeast Brazil Union
38766943,0,7597776,Northwest Brazil Union
38766943,0,7597777,South Brazil Union
38766943,0,7597778,South Peru Union
38766943,0,7597779,Southeast Brazil Union
38766943,0,7597781,West Central Brazil
38766943,0,7583753,SID
38766943,0,7597782,Botswana Union
38766943,0,7597791,Indian Ocean Union
38766943,0,7597796,Malawi Union
38766943,0,7597797,Mozambique Union
38766943,0,7597807,North-Eastern Angola
38766943,0,7597809,North Zambia Union
38766943,0,7597813,Southern Africa Union
38766943,0,7597817,Southern Zambia Union
38766943,0,7597818,Southwestern Angola Union
38766943,0,7597819,Zimbabwe Central Union
38766943,0,7603135,Zimbabwe East Union
38766943,0,7597820,Zimbabwe West Union
38766943,0,7583754,SPD
38766943,0,7597822,Australian Union
38766943,0,7597823,New Zealand Pacific Union
38766943,0,7597824,Papua New Guinea Union
38766943,0,7597826,Trans Pacific Union
38766943,0,7583760,SSD
38766943,0,7598092,Bangladesh Union
38766943,0,7598093,Central Philippines Union
38766943,0,7598094,East Indonesia Union
38766943,0,7598095,Myanmar Union
38766943,0,7598096,North Philippine Union
38766943,0,7598097,Pakistan Union
38766943,0,7598098,South Philippine Union
38766943,0,7598118,Malaysia Union
38766943,0,7598119,Southeastern Asia Union
38766943,0,7598120,West Indonesia Union
38766943,0,7583761,SUD
38766943,0,7598206,East-Central India Union
38766943,0,7598209,Northeast India Union
38766943,0,7598211,Northern India Union
38766943,0,7598224,South Central India Union
38766943,0,7598225,Southeast India Union
38766943,0,7598226,Southwest India Unionv
38766943,0,7598227,Western India Union
38766943,0,7583779,TED
38766943,0,7598122,Adriatic Union
38766943,0,7598123,Baltic Union
38766943,0,7598124,British Union
38766943,0,7598125,Hungarian Union
38766943,0,7598126,Norwegian Union
38766943,0,7598127,Polish Union
38766943,0,7598128,South-East European Union
38766943,0,7583780,WAD
38766943,0,7598129,Cameroon Union
38766943,0,7598130,Central African Union
38766943,0,7598131,Eastern Nigeria Union
38766943,0,7598132,Eastern Sahel Union
38766943,0,7598159,Northern Ghana
38766943,0,7598160,Northern Nigeria
38766943,0,7598161,Southern Ghana Union
38766943,0,7598162,West African Union
38766943,0,7598163,Western Nigeria Union
38766943,0,7603374,Western Sahel Union
38766943,0,7583781,CHUM
38766943,0,7583782,MENAUM
38766943,1,576218,"Does your entity have a program to nurture membership through disciple-making?"
38766943,1,7576220,"Does your entity have an active Reclaiming Ministry?"
38766943,1,7576219,"Does Secretariat promote the assimilation and mentoring of newly baptized members? (such as through devotional resources, spiritual  mentorship, integration into small groups or Sabbath School classes,  etc. )"
38766943,1,7584247,"Does Secretariat promote church planting and other mission initiatives in the fields and union institutions?"
38766943,2,7620678,"Are the dates of the executive committee voted in advance and included in the calendar?"
38766943,2,8668102,"Is an agenda submission procedure followed?"
38766943,2,8668102,"Is the mission of the Church a regular point of the agenda (including reports and missionary projects)?"
38766943,2,7620683,"Do the other executive officers play a role in the creation of the agenda?"
38766943,2,7620682,"Are requests for agenda items sent out regularly?"
38766943,2,7620681,"How often do the executive officers review and approve the agendas prior to each committee?"
38766943,2,7620680,"Are the items of the agenda pre-assigned?"
38766943,2,7584322,"Is the Secretary assisted by a recording secretary during official meetings?"
38766943,2,7584457,"Are voted actions recorded for the minutes during the meeting?"
38766943,2,7584456,"Is the first draft of the minutes written immediately after the meeting?"
38766943,2,7584455,"Is the wording of an action preserved during editing?"
38766943,2,7584452,"Are minutes written in a clear, concise manner?"
38766943,2,7584549,"Are draft minutes reviewed and approved by the executive officers prior to distribution?"
38766943,2,7584470,"Are draft minutes distributed electronically with the agenda to committee members before the next meeting?"
38766943,2,7584469,"Is a minutes distribution list utilized that includes all committee members?"
38766943,2,7584468,"Are the minutes of the previous meeting approved at the subsequent meeting?"
38766943,2,7584466,"Is a consistent style/format used?"
38766943,2,7584464,"Are abbreviations used consistently (currency, entity acronyms, etc.)?"
38766943,2,7584463,"Are voted actions indexed?"
38766943,2,7584508,"Are the final minutes fully digitized and cloud-based? (such as on Amazon, Microsoft, SAP, Dropbox, etc.?)"
38766943,2,7584512,"Are the final minutes of the current year printed, signed and filed in a current binder?"
38766943,2,7584513,"Are the final minutes of the year bound in a hard-copy format?"
38766943,2,7584518,"Is indexing used for the archived minutes?"
38766943,2,7584519,"Are the final minutes also archived permanently in an electronic format?"
38766943,2,7584522,"Is a schedule followed for the backup of electronic minutes?"
38766943,3,7625390,"Is action follow-up assigned and recorded in the minutes?"
38766943,3,7625393,"Are voted action numbers included in the follow-up communication?"
38766943,3,7625394,"Is the date the action was taken included in the follow-up communication?"
38766943,3,7625399,"Is the action wording included in the follow-up communication?"
38766943,3,7625398,"Is action follow-up recorded in writing and kept on file with the minutes?"
38766943,3,7625397,"Is follow-up reported at the next committee meeting, if required?"
38766943,4,7625400,"Are official session announcements published according to policy?"
38766943,4,7625403,"Is a session preparation worksheet being used?"
38766943,4,7625402,"Is a session agenda preparation procedure used?"
38766943,4,7625401,"Is the policy for selecting delegates followed?"
38766943,4,7625407,"Are the delegates notified in a timely manner after being selected?"
38766943,4,7625411,"Is session information sent to each delegate with sufficient advance notice?"
38766943,4,7625410,"Is information sent to the constituency regarding the session?"
38766943,4,7625409,"Are session committees formulated according to the Constitution & Bylaws?"
38766943,4,7625408,"Are recommendations/actions formulated prior to the session?"
38766943,4,7625406,"Are worksheets prepared for the nominating committee?"
38766943,4,7625405,"Are worksheets prepared for the Credentials and Licenses Committee?"
38766943,5,7625497,"Is a current copy of the General Conference Working Policy available for your use?"
38766943,5,7625480,"Is a current copy of the parent organization's Working Policy available for your use?"
38766943,5,7625489,"In general, how often is the parent organization's Working Policy used as a reference?"
38766943,5,7625481,"Are copies of the working policies/operating policies of your of institutions you oversee available for your use?"
38766943,5,7625667,"Are copies of the working policies/operating policies of your conferences/missions available for your use?"
38766943,5,7625496,"Is a current copy of the GC ISE Handbook available for your use?"
38766943,5,7625495,"Is a current copy of the Annual Statistical Report available in print, in addition to by electronic means?"
38766943,5,7625572,"Do you follow published Rules of Order?"
38766943,5,7625498,"Is a personal copy of the Church Manual (print or electronic) available for your use?"
38766943,6,7625713,"Are the entity's quarterly statistical reports submitted on time (January 15, April 15, July 15, October 15)?"
38766943,6,7625758,"Are you using Adventist Church Membership Software (ACMS)?"
38766943,6,7625757,"If using ACMS, are the membership numbers in ACMS the official numbers  being reported to the General Conference Office of Statistics and  Archives?"
38766943,6,7625760,"Is there a designated ACMS Coordinator?"
38766943,7,7625764,"Is the Yearbook information generally submitted on time? (September 30)"
38766943,7,7625765,"Do you submit personnel changes to the Yearbook team as soon as voted? (has to be by email)?"
38766943,7,7625767,"Did you have a change of organizational unit in the past 5 years?"
38766943,7,7625766,"Did you submit changes of organization units to the General Conference as soon as voted?"
38766943,8,7625850,"Is there a list of all employees?"
38766943,8,7625854,"Are services records on file for all employees?"
38766943,8,7625853,"Are your service records kept and maintained in an electronic system?"
38766943,8,7625852,"Is there a plan to move the service records to an electronic system?"
38766943,8,7625855,"Are originals kept and archived physically, if you are on an electronic service records system?"
38766943,8,7625851,"Are originals scanned and archived digitally, if you are on an electronic service records system?"
38766943,8,7625858,"Is there a schedule for the back up of electronic service records?"
38766943,8,7625857,"Are all entries/reports signed according to policy?"
38766943,8,7625859,"Is a record kept of the names of the service record signatories with their corresponding signatures?"
38766943,8,7625862,"Have gaps in the service records been addressed?"
38766943,8,7625856,"Is there a procedure for managing multiple service records?"
38766943,8,7625864,"Have service records been consolidated so that there is only one service record for an employee?"
38766943,8,7625865,"Are all service records original?"
38766943,8,7625863,"Do all service records have complete and accurate biographical information?"
38766943,8,7626077,"Is a copy of the service record reviewed by each employee at least every two years?"
38766943,9,7626226,"Do all workers have credentials or licenses?"
38766943,9,7626230,"Are credentials and licenses issued each term?"
38766943,9,7626358,"Does a committee review and approve all credentials and licenses?"
38766943,9,7626357,"Does an officer sign the credentials and licenses?"
38766943,9,7626356,"Does each worker have a separate record with personal information?"
38766943,9,7626259,"How many employees does your organization have?"
38766943,9,7626229,"Are employment ID cards issued to all employees?"
38766943,9,7626228,"Are ID cards with photographs used?"
38766943,9,7626227,"Are employment ID cards issued to probationary employees?"
38766943,10,7626718,"Are there stated procedures for calling regular workers from organizations within your territory?"
38766943,10,7626715,"Are there stated procedures for calling workers from outside your territory?"
38766943,10,7626717,"Are there stated procedures for calling volunteers?"
38766943,10,7626716,"Is there a designated director of Adventist Volunteer Services?"
38766943,11,7626743,"Is there a directory of your organization with email addresses and phone numbers of employees?"
38766943,11,7626744,"Is there a directory of your subsidiary organization with email addresses and phone numbers of employees?"
38766943,11,7626745,"Is there a directory of your parent organization with email addresses and phone numbers?"
38766943,11,7626746,"Is there a directory  of all institutional boards, including their  chairs, secretaries, and members with email addresses and phone numbers?"
38766943,11,7626747,"Are there terms of reference for all institutional boards?"
38766943,11,7626749,"Are there terms of references for all standing committees?"
38766943,11,7626748,"Is there a list of all standing committees, including the names of the chair persons, secretaries, and members?"
38766943,11,7626751,"Is there a master schedule of your organization's appointments, itineraries, committees, and boards for the next six months?"
38766943,11,7626750,"Are job descriptions maintained for the Secretary and the office staff?"
38766943,12,7626781,"Do you have disaster policies and procedures?"
38766943,12,7626771,"Are the disaster policies and procedures reviewed and updated regularly?"
38766943,12,7626772,"Are electronic records addressed in the disaster policies and procedures?"
38766943,12,7626773,"Is adequate space provided for Secretariat personnel, filing cabinets, binders and directories?"
38766943,12,7626774,"Is a fire extinguisher available in the officers' work area?"
38766943,13,7626871,"Does the conference/mission have a system for tracking church membership transfers?"
38766943,13,7626872,"Do church membership records include birth/marriage/death/date of baptism information?"
38766943,13,7626873,"Was a church membership audit done within the last five years?"
38766943,13,7626874,"Is there a date scheduled for the next church membership audit"
38766943,13,7626875,"Are you using an electronic system for recording church membership?"
38766943,13,7626876,"Are church membership lists easy to retrieve?"
38766943,13,7626877,"Are church clerk records easy to access?"
38766943,13,7626878,"Are statistical quarterly membership records easy to retrieve?"